id,keyword,companyname
290,CGCL,Capri Global Capital Limited
291,CGPOWER,CG Power and Industrial Solutions Limited
292,CHALET,Chalet Hotels Limited
293,CHAMBLFERT,Chambal Fertilizers & Chemicals Limited
294,CHEMBOND,Chembond Chemicals Ltd
295,CHEMCON,Chemcon Speciality Chemicals Limited
296,CHEMFAB,Chemfab Alkalis Limited
297,CHENNPETRO,Chennai Petroleum Corporation Limited
298,CHOLAFIN,Cholamandalam Investment and Finance Company Limited
299,CHOLAHLDNG,Cholamandalam Financial Holdings Limited
300,CIGNITITEC,Cigniti Technologies Limited
301,CINELINE,Cineline India Limited
302,CINEVISTA,Cinevista Limited
303,CIPLA,Cipla Limited
304,CLEDUCATE,CL Educate Limited
305,CLNINDIA,Clariant Chemicals (India) Limited
306,CLSEL,Chaman Lal Setia Exports Limited
307,CMICABLES,CMI Limited
308,COALINDIA,Coal India Limited
309,COCHINSHIP,Cochin Shipyard Limited
310,COFFEEDAY,Coffee Day Enterprises Limited
311,COFORGE,Coforge Limited
312,COLPAL,Colgate Palmolive (India) Limited
313,COMPINFO,Compuage Infocom Limited
314,COMPUSOFT,Compucom Software Limited
315,CONCOR,Container Corporation of India Limited
316,CONFIPET,Confidence Petroleum India Limited
317,CONSOFINVT,Consolidated Finvest & Holdings Limited
318,CONTROLPR,Control Print Limited
319,CORALFINAC,Coral India Finance & Housing Limited
320,CORDSCABLE,Cords Cable Industries Limited
321,COROMANDEL,Coromandel International Limited
322,COSMOFILMS,Cosmo Films Limited
323,COUNCODOS,Country Condo's Limited
324,COX&KINGS,Cox & Kings Limited
325,CRAFTSMAN,Craftsman Automation Limited
326,CREATIVE,Creative Peripherals and Distribution Limited
327,CREATIVEYE,Creative Eye Limited
328,CREDITACC,CREDITACCESS GRAMEEN LIMITED
329,CREST,Crest Ventures Limited
330,CRISIL,CRISIL Limited
331,CROMPTON,Crompton Greaves Consumer Electricals Limited
332,CSBBANK,CSB Bank Limited
333,CTE,Cambridge Technology Enterprises Limited
334,CUB,City Union Bank Limited
335,CUBEXTUB,Cubex Tubings Limited
336,CUMMINSIND,Cummins India Limited
337,CUPID,Cupid Limited
338,CYBERMEDIA,Cyber Media (India) Limited
339,CYBERTECH,Cybertech Systems And Software Limited
340,CYIENT,Cyient Limited
341,DAAWAT,LT Foods Limited
342,DABUR,Dabur India Limited
343,DALALSTCOM,DSJ Communications Limited
344,DALBHARAT,Dalmia Bharat Limited
345,DALMIASUG,Dalmia Bharat Sugar and Industries Limited
346,DAMODARIND,Damodar Industries Limited
347,DANGEE,Dangee Dums Limited
348,DATAMATICS,Datamatics Global Services Limited
349,DBCORP,D.B.Corp Limited
350,DBL,Dilip Buildcon Limited
351,DBREALTY,D B Realty Limited
352,DBSTOCKBRO,DB (International) Stock Brokers Limited
353,DCAL,Dishman Carbogen Amcis Limited
354,DCBBANK,DCB Bank Limited
355,DCM,DCM  Limited
356,DCMFINSERV,DCM Financial Services Limited
357,DCMNVL,DCM Nouvelle Limited
358,DCMSHRIRAM,DCM Shriram Limited
359,DCW,DCW Limited
360,DECCANCE,Deccan Cements Limited
361,DEEPAKFERT,Deepak Fertilizers And Petrochemicals Corporation Limited
362,DEEPAKNTR,Deepak Nitrite Limited
363,DEEPENR,DEEP ENERGY RESOURCES LIMITED
364,DEEPINDS,Deep Industries Limited
365,DELTACORP,Delta Corp Limited
366,DELTAMAGNT,Delta Manufacturing Limited
367,DEN,Den Networks Limited
368,DENORA,De Nora India Limited
369,DFMFOODS,DFM Foods Limited
370,DGCONTENT,Digicontent Limited
371,DHAMPURSUG,Dhampur Sugar Mills Limited
372,DHANBANK,Dhanlaxmi Bank Limited
373,DHANI,Dhani Services Limited
374,DHANUKA,Dhanuka Agritech Limited
375,DHARSUGAR,Dharani Sugars & Chemicals Limited
376,DHUNINV,Dhunseri Investments Limited
377,DIAMONDYD,Prataap Snacks Limited
378,DICIND,DIC India Limited
379,DIGISPICE,DiGiSPICE Technologies Limited
380,DISHTV,Dish TV India Limited
381,DIVISLAB,Divi's Laboratories Limited
382,DIXON,Dixon Technologies (India) Limited
383,DLF,DLF Limited
384,DLINKINDIA,D-Link (India) Limited
385,DMART,Avenue Supermarts Limited
386,DNAMEDIA,Diligent Media Corporation Limited
387,DOLAT,Dolat Investments Limited
388,DOLLAR,Dollar Industries Limited
389,DONEAR,Donear Industries Limited
390,DPABHUSHAN,D. P. Abhushan Limited
391,DPSCLTD,DPSC Limited
392,DPWIRES,D P Wires Limited
393,DRCSYSTEMS,DRC Systems India Limited
394,DREDGECORP,Dredging Corporation of India Limited
395,DRREDDY,Dr. Reddy's Laboratories Limited
396,DSSL,Dynacons Systems & Solutions Limited
397,DTIL,Dhunseri Tea & Industries Limited
398,DUCON,Ducon Infratechnologies Limited
399,DVL,Dhunseri Ventures Limited
400,DWARKESH,Dwarikesh Sugar Industries Limited
401,DYNAMATECH,Dynamatic Technologies Limited
402,DYNPRO,Dynemic Products Limited
403,EASEMYTRIP,Easy Trip Planners Limited
404,EASTSILK,Eastern Silk Industries Limited
405,EASUNREYRL,Easun Reyrolle Limited
406,EBIXFOREX,EBIXCASH WORLD MONEY INDIA LIMITED
407,ECLERX,eClerx Services Limited
408,EDELWEISS,Edelweiss Financial Services Limited
409,EDUCOMP,Educomp Solutions Limited
410,EICHERMOT,Eicher Motors Limited
411,EIDPARRY,EID Parry India Limited
412,EIHAHOTELS,EIH Associated Hotels Limited
413,EIHOTEL,EIH Limited
414,EIMCOELECO,Eimco Elecon (India) Limited
415,EKC,Everest Kanto Cylinder Limited
416,ELECON,Elecon Engineering Company Limited
417,ELECTCAST,Electrosteel Castings Limited
418,ELECTHERM,Electrotherm (India) Limited
419,ELGIEQUIP,Elgi Equipments Limited
420,ELGIRUBCO,Elgi Rubber Company Limited
421,EMAMILTD,Emami Limited
422,EMAMIPAP,Emami Paper Mills Limited
423,EMAMIREAL,Emami Realty Limited
424,EMCO,Emco Limited
425,EMKAY,Emkay Global Financial Services Limited
426,EMMBI,Emmbi Industries Limited
427,ENDURANCE,Endurance Technologies Limited
428,ENERGYDEV,Energy Development Company Limited
429,ENGINERSIN,Engineers India Limited
430,ENIL,Entertainment Network (India) Limited
431,EPL,EPL Limited
432,EQUITAS,Equitas Holdings Limited
433,EQUITASBNK,Equitas Small Finance Bank Limited
434,ERIS,Eris Lifesciences Limited
435,EROSMEDIA,Eros International Media Limited
436,ESABINDIA,Esab India Limited
437,ESCORTS,Escorts Limited
