id,keyword,companyname
1242,ROLLT,Rollatainers Limited
1243,ROLTA,Rolta India Limited
1244,ROML,Raj Oil Mills Limited
1245,ROSSARI,Rossari Biotech Limited
1246,ROSSELLIND,Rossell India Limited
1247,ROUTE,ROUTE MOBILE LIMITED
1248,RPGLIFE,RPG Life Sciences Limited
1249,RPOWER,Reliance Power Limited
1250,RPPINFRA,R.P.P. Infra Projects Limited
1251,RPSGVENT,RPSG VENTURES LIMITED
1252,RSSOFTWARE,R. S. Software (India) Limited
1253,RSWM,RSWM Limited
1254,RSYSTEMS,R Systems International Limited
1255,RTNINDIA,RattanIndia Enterprises Limited
1256,RTNPOWER,RattanIndia Power Limited
1257,RUBYMILLS,The Ruby Mills Limited
1258,RUCHI,Ruchi Soya Industries Limited
1259,RUCHINFRA,Ruchi Infrastructure Limited
1260,RUCHIRA,Ruchira Papers Limited
1261,RUPA,Rupa & Company Limited
1262,RUSHIL,Rushil Decor Limited
1263,RVHL,Ravinder Heights Limited
1264,RVNL,Rail Vikas Nigam Limited
1265,S&SPOWER,S&S Power Switchgears Limited
1266,SABEVENTS,Sab Events & Governance Now Media Limited
1267,SABTN,Sri Adhikari Brothers Television Network Limited
1268,SADBHAV,Sadbhav Engineering Limited
1269,SADBHIN,Sadbhav Infrastructure Project Limited
1270,SAFARI,Safari Industries (India) Limited
1271,SAGARDEEP,Sagardeep Alloys Limited
1272,SAGCEM,Sagar Cements Limited
1273,SAIL,Steel Authority of India Limited
1274,SAKAR,Sakar Healthcare Limited
1275,SAKHTISUG,Sakthi Sugars Limited
1276,SAKSOFT,Saksoft Limited
1277,SAKUMA,Sakuma Exports Limited
1278,SALASAR,Salasar Techno Engineering Limited
1279,SALONA,Salona Cotspin Limited
1280,SALSTEEL,S.A.L. Steel Limited
1281,SALZERELEC,Salzer Electronics Limited
1282,SAMBHAAV,Sambhaav Media Limited
1283,SANCO,Sanco Industries Limited
1284,SANDESH,The Sandesh Limited
1285,SANDHAR,Sandhar Technologies Limited
1286,SANGAMIND,Sangam (India) Limited
1287,SANGHIIND,Sanghi Industries Limited
1288,SANGHVIMOV,Sanghvi Movers Limited
1289,SANGINITA,Sanginita Chemicals Limited
1290,SANOFI,Sanofi India Limited
1291,SANWARIA,Sanwaria Consumer Limited
1292,SARDAEN,Sarda Energy & Minerals Limited
1293,SAREGAMA,Saregama India Limited
1294,SARLAPOLY,Sarla Performance Fibers Limited
1295,SASKEN,Sasken Technologies Limited
1296,SASTASUNDR,Sastasundar Ventures Limited
1297,SATIA,Satia Industries Limited
1298,SATIN,Satin Creditcare Network Limited
1299,SBICARD,SBI Cards and Payment Services Limited
1300,SBILIFE,SBI Life Insurance Company Limited
1301,SBIN,State Bank of India
1302,SCAPDVR,Stampede Capital Limited
1303,SCHAEFFLER,Schaeffler India Limited
1304,SCHAND,S Chand And Company Limited
1305,SCHNEIDER,Schneider Electric Infrastructure Limited
1306,SCI,Shipping Corporation Of India Limited
1307,SDBL,Som Distilleries & Breweries Limited
1308,SEAMECLTD,Seamec Limited
1309,SECURKLOUD,SECUREKLOUD TECHNOLOGIES LIMITED
1310,SELAN,Selan Exploration Technology Limited
1311,SEPOWER,S.E. Power Limited
1312,SEQUENT,Sequent Scientific Limited
1313,SESHAPAPER,Seshasayee Paper and Boards Limited
1314,SETCO,Setco Automotive Limited
1315,SETUINFRA,Setubandhan Infrastructure Limited
1316,SEYAIND,Seya Industries Limited
1317,SFL,Sheela Foam Limited
1318,SGL,STL Global Limited
1319,SHAHALLOYS,Shah Alloys Limited
1320,SHAKTIPUMP,Shakti Pumps (India) Limited
1321,SHALBY,Shalby Limited
1322,SHALPAINTS,Shalimar Paints Limited
1323,SHANKARA,Shankara Building Products Limited
1324,SHANTIGEAR,Shanthi Gears Limited
1325,SHARDACROP,Sharda Cropchem Limited
1326,SHARDAMOTR,Sharda Motor Industries Limited
1327,SHAREINDIA,Share India Securities Limited
1328,SHEMAROO,Shemaroo Entertainment Limited
1329,SHIL,Somany Home Innovation Limited
1330,SHILPAMED,Shilpa Medicare Limited
1331,SHIVAMAUTO,Shivam Autotech Limited
1332,SHIVAMILLS,Shiva Mills Limited
1333,SHIVATEX,Shiva Texyarn Limited
1334,SHK,S H Kelkar and Company Limited
1335,SHOPERSTOP,Shoppers Stop Limited
1336,SHRADHA,Shradha Infraprojects Limited
1337,SHREDIGCEM,Shree Digvijay Cement Co.Ltd
1338,SHREECEM,SHREE CEMENT LIMITED
1339,SHREEPUSHK,Shree Pushkar Chemicals & Fertilisers Limited
1340,SHREERAMA,Shree Rama Multi-Tech Limited
1341,SHRENIK,Shrenik Limited
1342,SHREYANIND,Shreyans Industries Limited
1343,SHREYAS,Shreyas Shipping & Logistics Limited
1344,SHRIPISTON,Shriram Pistons & Rings Limited
1345,SHRIRAMCIT,Shriram City Union Finance Limited
1346,SHRIRAMEPC,Shriram EPC Limited
1347,SHYAMCENT,Shyam Century Ferrous Limited
1348,SHYAMTEL,Shyam Telecom Limited
1349,SICAGEN,Sicagen India Limited
1350,SICAL,Sical Logistics Limited
1351,SIEMENS,Siemens Limited
1352,SIGIND,Signet Industries Limited
1353,SIL,Standard Industries Limited
1354,SILGO,Silgo Retail Limited
1355,SILINV,SIL Investments Limited
1356,SILLYMONKS,Silly Monks Entertainment Limited
1357,SIMBHALS,Simbhaoli Sugars Limited
1358,SIMPLEXINF,Simplex Infrastructures Limited
1359,SINTERCOM,Sintercom India Limited
1360,SINTEX,Sintex Industries Limited
1361,SIRCA,Sirca Paints India Limited
1362,SIS,SIS LIMITED
1363,SITINET,Siti Networks Limited
1364,SIYSIL,Siyaram Silk Mills Limited
1365,SJVN,SJVN Limited
1366,SKFINDIA,SKF India Limited
1367,SKIL,SKIL Infrastructure Limited
1368,SKIPPER,Skipper Limited
1369,SKMEGGPROD,SKM Egg Products Export (India) Limited
1370,SMARTLINK,Smartlink Holdings Limited
1371,SMCGLOBAL,SMC Global Securities Limited
1372,SMLISUZU,SML Isuzu Limited
1373,SMPL,Splendid Metal Products Limited
1374,SMSLIFE,SMS Lifesciences India Limited
1375,SMSPHARMA,SMS Pharmaceuticals Limited
1376,SNOWMAN,Snowman Logistics Limited
1377,SOBHA,Sobha Limited
1378,SOLARA,Solara Active Pharma Sciences Limited
1379,SOLARINDS,Solar Industries India Limited
1380,SOMANYCERA,Somany Ceramics Limited
1381,SOMATEX,Soma Textiles & Industries Limited
1382,SOMICONVEY,Somi Conveyor Beltings Limited
1383,SONATSOFTW,Sonata Software Limited
1384,SORILINFRA,SORIL Infra Resources Limited
1385,SOTL,Savita Oil Technologies Limited
1386,SOUTHBANK,The South Indian Bank Limited
1387,SOUTHWEST,South West Pinnacle Exploration Limited
1388,SPAL,S. P. Apparels Limited
1389,SPANDANA,Spandana Sphoorty Financial Limited
1390,SPARC,Sun Pharma Advanced Research Company Limited
1391,SPECIALITY,Speciality Restaurants Limited
1392,SPENCERS,Spencer's Retail Limited
1393,SPENTEX,Spentex Industries Limited
1394,SPIC,Southern Petrochemicals Industries Corporation  Limited
1395,SPICEJET,SPICEJET LTD
1396,SPLIL,SPL Industries Limited
1397,SPMLINFRA,SPML Infra Limited
1398,SPTL,Sintex Plastics Technology Limited
1399,SREEL,Sreeleathers Limited
1400,SREINFRA,SREI Infrastructure Finance Limited
1401,SRF,SRF Limited
1402,SRHHYPOLTD,Sree Rayalaseema Hi-Strength Hypo Limited
1403,SRIPIPES,Srikalahasthi Pipes Limited
1404,SRPL,Shree Ram Proteins Limited
1405,SRTRANSFIN,Shriram Transport Finance Company Limited
1406,SSWL,Steel Strips Wheels Limited
1407,STAR,Strides Pharma Science Limited
1408,STARCEMENT,Star Cement Limited
1409,STARPAPER,Star Paper Mills Limited
1410,STCINDIA,The State Trading Corporation of India Limited
1411,STEELCITY,Steel City Securities Limited
1412,STEELXIND,STEEL EXCHANGE INDIA LIMITED
1413,STEL,Stel Holdings Limited
1414,STERTOOLS,Sterling Tools Limited
1415,STLTECH,Sterlite Technologies Limited
1416,STOVEKRAFT,Stove Kraft Limited
1417,SUBCAPCITY,International Constructions Limited
1418,SUBEXLTD,Subex Limited
1419,SUBROS,Subros Limited
1420,SUDARSCHEM,Sudarshan Chemical Industries Limited
1421,SUMEETINDS,Sumeet Industries Limited
1422,SUMICHEM,Sumitomo Chemical India Limited
1423,SUMIT,Sumit Woods Limited
1424,SUMMITSEC,Summit Securities Limited
1425,SUNCLAYLTD,Sundaram Clayton Limited
1426,SUNDARAM,Sundaram Multi Pap Limited
1427,SUNDARMFIN,Sundaram Finance Limited
1428,SUNDARMHLD,Sundaram Finance Holdings Limited
1429,SUNDRMBRAK,Sundaram Brake Linings Limited
1430,SUNDRMFAST,Sundram Fasteners Limited
1431,SUNFLAG,Sunflag Iron And Steel Company Limited
1432,SUNPHARMA,Sun Pharmaceutical Industries Limited
1433,SUNTECK,Sunteck Realty Limited
1434,SUNTV,Sun TV Network Limited
1435,SUPERHOUSE,Superhouse Limited
1436,SUPERSPIN,Super Spinning Mills Limited
1437,SUPPETRO,Supreme Petrochem Limited
1438,SUPRAJIT,Suprajit Engineering Limited
1439,SUPREMEENG,Supreme Engineering Limited
1440,SUPREMEIND,Supreme Industries Limited
1441,SURANASOL,Surana Solar Limited
1442,SURANAT&P,Surana Telecom and Power Limited
1443,SURYALAXMI,Suryalakshmi Cotton Mills Limited
1444,SURYAROSNI,Surya Roshni Limited
1445,SURYODAY,Suryoday Small Finance Bank Limited
1446,SUTLEJTEX,Sutlej Textiles and Industries Limited
1447,SUULD,Suumaya Industries Limited
1448,SUVEN,Suven Life Sciences Limited
1449,SUVENPHAR,Suven Pharmaceuticals Limited
1450,SUVIDHAA,Suvidhaa Infoserve Limited
1451,SUZLON,Suzlon Energy Limited
1452,SWANENERGY,Swan Energy Limited
1453,SWARAJENG,Swaraj Engines Limited
1454,SWELECTES,Swelect Energy Systems Limited
1455,SWSOLAR,Sterling And Wilson Solar Limited
1456,SYMPHONY,Symphony Limited
1457,SYNCOM,Syncom Healthcare Limited
1458,SYNGENE,Syngene International Limited
1459,TAINWALCHM,Tainwala Chemical and Plastic (I) Limited
1460,TAJGVK,Taj GVK Hotels & Resorts Limited
1461,TAKE,Take Solutions Limited
1462,TALBROAUTO,Talbros Automotive Components Limited
1463,TANLA,Tanla Platforms Limited
1464,TANTIACONS,Tantia Constructions Limited
1465,TARAPUR,Tarapur Transformers Limited
1466,TARC,TARC Limited
1467,TARMAT,Tarmat Limited
1468,TASTYBITE,Tasty Bite Eatables Limited
1469,TATACHEM,Tata Chemicals Limited
1470,TATACOFFEE,Tata Coffee Limited
1471,TATACOMM,Tata Communications Limited
1472,TATACONSUM,TATA CONSUMER PRODUCTS LIMITED
1473,TATAELXSI,Tata Elxsi Limited
1474,TATAINVEST,Tata Investment Corporation Limited
1475,TATAMETALI,Tata Metaliks Limited
1476,TATAMOTORS,Tata Motors Limited
1477,TATAMTRDVR,Tata Motors Limited
1478,TATAPOWER,Tata Power Company Limited
1479,TATASTEEL,Tata Steel Limited
1480,TATASTLBSL,Tata Steel Bsl Limited
1481,TATASTLLP,Tata Steel Long Products Limited
1482,TBZ,Tribhovandas Bhimji Zaveri Limited
1483,TCI,Transport Corporation of India Limited
1484,TCIDEVELOP,TCI Developers Limited
1485,TCIEXP,TCI Express Limited
1486,TCIFINANCE,TCI Finance Limited
1487,TCNSBRANDS,TCNS Clothing Co. Limited
1488,TCPLPACK,TCPL Packaging Limited
1489,TCS,Tata Consultancy Services Limited
1490,TDPOWERSYS,TD Power Systems Limited
1491,TEAMLEASE,Teamlease Services Limited
1492,TECHIN,Techindia Nirman Limited
1493,TECHM,Tech Mahindra Limited
1494,TECHNOE,Techno Electric & Engineering Company Limited
1495,TEJASNET,Tejas Networks Limited
1496,TEMBO,Tembo Global Industries Limited
1497,TERASOFT,Tera Software Limited
1498,TEXINFRA,Texmaco Infrastructure & Holdings Limited
1499,TEXMOPIPES,Texmo Pipes and Products Limited
1500,TEXRAIL,Texmaco Rail & Engineering Limited
1501,TFCILTD,Tourism Finance Corporation of India Limited
1502,TFL,Transwarranty Finance Limited
1503,TGBHOTELS,TGB Banquets And Hotels Limited
1504,THANGAMAYL,Thangamayil Jewellery Limited
1505,THEINVEST,The Investment Trust Of India Limited
1506,THEMISMED,Themis Medicare Limited
1507,THERMAX,Thermax Limited
1508,THOMASCOOK,Thomas Cook  (India)  Limited
1509,THOMASCOTT,Thomas Scott (India) Limited
1510,THYROCARE,Thyrocare Technologies Limited
1511,TI,Tilaknagar Industries Limited
1512,TIDEWATER,Tide Water Oil Company (India) Limited
1513,TIIL,Technocraft Industries (India) Limited
1514,TIINDIA,Tube Investments of India Limited
1515,TIJARIA,Tijaria Polypipes Limited
1516,TIL,TIL Limited
1517,TIMESGTY,Times Guaranty Limited
1518,TIMETECHNO,Time Technoplast Limited
1519,TIMKEN,Timken India Limited
1520,TINPLATE,The Tinplate Company of India Limited
1521,TIPSINDLTD,TIPS Industries Limited
1522,TIRUMALCHM,Thirumalai Chemicals Limited
1523,TIRUPATIFL,Tirupati Forge Limited
1524,TITAN,Titan Company Limited
1525,TMRVL,The Mandhana Retail Ventures Limited
1526,TNPETRO,Tamilnadu PetroProducts Limited
1527,TNPL,Tamil Nadu Newsprint & Papers Limited
1528,TNTELE,Tamilnadu Telecommunication Limited
1529,TOKYOPLAST,Tokyo Plast International Limited
1530,TORNTPHARM,Torrent Pharmaceuticals Limited
1531,TORNTPOWER,Torrent Power Limited
1532,TOTAL,Total Transport Systems Limited
1533,TOUCHWOOD,Touchwood Entertainment Limited
1534,TPLPLASTEH,TPL Plastech Limited
1535,TREEHOUSE,Tree House Education & Accessories Limited
1536,TREJHARA,TREJHARA SOLUTIONS LIMITED
1537,TRENT,Trent Limited
1538,TRF,TRF Limited
1539,TRIDENT,Trident Limited
1540,TRIGYN,Trigyn Technologies Limited
1541,TRIL,Transformers And Rectifiers (India) Limited
1542,TRITURBINE,Triveni Turbine Limited
1543,TRIVENI,Triveni Engineering & Industries Limited
1544,TTKHLTCARE,TTK Healthcare Limited
1545,TTKPRESTIG,TTK Prestige Limited
1546,TTL,T T Limited
1547,TTML,Tata Teleservices (Maharashtra) Limited
1548,TV18BRDCST,TV18 Broadcast Limited
1549,TVSELECT,TVS Electronics Limited
1550,TVSMOTOR,TVS Motor Company Limited
1551,TVSSRICHAK,TVS Srichakra Limited
1552,TVTODAY,TV Today Network Limited
1553,TVVISION,TV Vision Limited
1554,TWL,Titagarh Wagons Limited
1555,UBL,United Breweries Limited
1556,UCALFUEL,Ucal Fuel Systems Limited
1557,UCOBANK,UCO Bank
1558,UFLEX,UFLEX Limited
1559,UFO,UFO Moviez India Limited
1560,UGARSUGAR,The Ugar Sugar Works Limited
1561,UJAAS,Ujaas Energy Limited
1562,UJJIVAN,Ujjivan Financial Services Limited
1563,UJJIVANSFB,Ujjivan Small Finance Bank Limited
1564,ULTRACEMCO,UltraTech Cement Limited
1565,UMANGDAIRY,Umang Dairies Limited
1566,UMESLTD,Usha Martin Education & Solutions Limited
1567,UNICHEMLAB,Unichem Laboratories Limited
1568,UNIDT,United Drilling Tools Limited
1569,UNIENTER,Uniphos Enterprises Limited
1570,UNIONBANK,Union Bank of India
1571,UNITECH,Unitech Limited
1572,UNITEDTEA,The United Nilgiri Tea Estates Company Limited
1573,UNIVASTU,Univastu India Limited
1574,UNIVCABLES,Universal Cables Limited
1575,UNIVPHOTO,Universus Photo Imagings Limited
1576,UPL,UPL Limited
1577,URJA,Urja Global Limited
1578,USHAMART,Usha Martin Limited
1579,UTIAMC,UTI Asset Management Company Limited
1580,UTTAMSTL,Uttam Galva Steels Limited
1581,UTTAMSUGAR,Uttam Sugar Mills Limited
1582,V2RETAIL,V2 Retail Limited
1583,VADILALIND,Vadilal Industries Limited
1584,VAIBHAVGBL,Vaibhav Global Limited
1585,VAISHALI,Vaishali Pharma Limited
1586,VAKRANGEE,Vakrangee Limited
1587,VALIANTORG,Valiant Organics Limited
1588,VARDHACRLC,Vardhman Acrylics Limited
1589,VARDMNPOLY,Vardhman Polytex Limited
1590,VARROC,Varroc Engineering Limited
1591,VASCONEQ,Vascon Engineers Limited
1592,VASWANI,Vaswani Industries Limited
1593,VBL,Varun Beverages Limited
1594,VECO-RE,Vikas EcoTech Ltd - RE
1595,VEDL,Vedanta Limited
1596,VENKEYS,Venky's (India) Limited
1597,VENUSREM,Venus Remedies Limited
1598,VERTOZ,Vertoz Advertising Limited
1599,VESUVIUS,Vesuvius India Limited
1600,VETO,Veto Switchgears And Cables Limited
1601,VGUARD,V-Guard Industries Limited
1602,VHL,Vardhman Holdings Limited
1603,VICEROY,Viceroy Hotels Limited
1604,VIDHIING,Vidhi Specialty Food Ingredients Limited
1605,VIJIFIN,Viji Finance Limited
1606,VIKASECO,Vikas EcoTech Limited
1607,VIKASLIFE,Vikas Lifecare Limited
1608,VIKASPROP,Vikas Proppant & Granite Limited
1609,VIKASWSP,Vikas WSP Limited
1610,VIMTALABS,Vimta Labs Limited
1611,VINATIORGA,Vinati Organics Limited
1612,VINDHYATEL,Vindhya Telelinks Limited
1613,VINEETLAB,Vineet Laboratories Limited
1614,VINYLINDIA,Vinyl Chemicals (India) Limited
1615,VIPCLOTHNG,VIP Clothing Limited
1616,VIPIND,VIP Industries Limited
1617,VIPULLTD,Vipul Limited
1618,VISAKAIND,Visaka Industries Limited
1619,VISASTEEL,Visa Steel Limited
1620,VISHAL,Vishal Fabrics Limited
1621,VISHNU,Vishnu Chemicals Limited
1622,VISHWARAJ,Vishwaraj Sugar Industries Limited
1623,VIVIDHA,Visagar Polytex Limited
1624,VIVIMEDLAB,Vivimed Labs Limited
1625,VLSFINANCE,VLS Finance Limited
1626,VMART,V-Mart Retail Limited
1627,VOLTAMP,Voltamp Transformers Limited
1628,VOLTAS,Voltas Limited
1629,VRLLOG,VRL Logistics Limited
1630,VSSL,Vardhman Special Steels Limited
1631,VSTIND,VST Industries Limited
1632,VSTTILLERS,V.S.T Tillers Tractors Limited
1633,VTL,Vardhman Textiles Limited
1634,WABAG,VA Tech Wabag Limited
1635,WABCOINDIA,WABCO India Limited
1636,WALCHANNAG,Walchandnagar Industries Limited
1637,WANBURY,Wanbury Limited
1638,WATERBASE,Waterbase Limited
1639,WEALTH,Wealth First Portfolio Managers Limited
1640,WEBELSOLAR,Websol Energy System Limited
1641,WEIZMANIND,Weizmann Limited
1642,WELCORP,Welspun Corp Limited
1643,WELENT,Welspun Enterprises Limited
1644,WELINV,Welspun Investments and Commercials Limited
1645,WELSPUNIND,Welspun India Limited
1646,WENDT,Wendt (India) Limited
1647,WESTLIFE,Westlife Development Ltd
1648,WHEELS,Wheels India Limited
1649,WHIRLPOOL,Whirlpool of India Limited
1650,WILLAMAGOR,Williamson Magor & Company Limited
1651,WINDMACHIN,Windsor Machines Limited
1652,WIPL,The Western India Plywoods Limited
1653,WIPRO,Wipro Limited
1654,WOCKPHARMA,Wockhardt Limited
1655,WONDERLA,Wonderla Holidays Limited
1656,WORTH,Worth Peripherals Limited
1657,WSI,W S Industries (I) Limited
1658,WSTCSTPAPR,West Coast Paper Mills Limited
1659,XCHANGING,Xchanging Solutions Limited
1660,XELPMOC,Xelpmoc Design And Tech Limited
1661,XPROINDIA,Xpro India Limited
1662,YAARII,Yaarii Digital Integrated Services Limited
1663,YESBANK,Yes Bank Limited
1664,ZEEL,Zee Entertainment Enterprises Limited
1665,ZEELEARN,Zee Learn Limited
1666,ZEEMEDIA,Zee Media Corporation Limited
1667,ZENITHEXPO,Zenith Exports Limited
1668,ZENSARTECH,Zensar Technologies Limited
1669,ZENTEC,Zen Technologies Limited
1670,ZODIACLOTH,Zodiac Clothing Company Limited
1671,ZODJRDMKJ,Zodiac JRD- MKJ Limited
1672,ZOTA,Zota Health Care LImited
1673,ZUARI,Zuari Agro Chemicals Limited
1674,ZUARIGLOB,Zuari Global Limited
1675,ZYDUSWELL,Zydus Wellness Limited
